user_id,timestamp,heart_rate_bpm,hrv_ms,spo2_pct,skin_temp_c
user_001,2024-01-01 00:00:00,52,55.4,98.3,33.81
user_001,2024-01-01 00:01:00,49,54.7,96.6,33.39
user_001,2024-01-01 00:02:00,53,63.6,98.0,33.11
user_001,2024-01-01 00:03:00,57,68.2,97.0,33.92
user_001,2024-01-01 00:04:00,48,62.5,97.2,33.07
user_001,2024-01-01 00:05:00,48,65.7,97.5,32.98
user_001,2024-01-01 00:06:00,57,50.7,97.4,33.39
user_001,2024-01-01 00:07:00,53,55.4,96.2,33.37
user_001,2024-01-01 00:08:00,47,70.8,98.6,32.94
user_001,2024-01-01 00:09:00,52,59.7,98.4,34.19
user_001,2024-01-01 00:10:00,47,53.5,97.4,33.7
user_001,2024-01-01 00:11:00,47,56.2,98.2,33.12
user_001,2024-01-01 00:12:00,51,65.1,97.2,33.54
user_001,2024-01-01 00:13:00,40,69.3,96.7,33.55
user_001,2024-01-01 00:14:00,41,49.3,97.5,34.21
user_001,2024-01-01 00:15:00,47,59.5,96.6,33.15
user_001,2024-01-01 00:16:00,44,56.7,98.0,33.75
user_001,2024-01-01 00:17:00,51,54.0,96.9,33.53
user_001,2024-01-01 00:18:00,45,69.8,96.2,33.01
user_001,2024-01-01 00:19:00,42,55.0,94.6,32.86
user_001,2024-01-01 00:20:00,57,47.1,97.4,33.28
user_001,2024-01-01 00:21:00,48,47.5,97.8,33.52
user_001,2024-01-01 00:22:00,50,53.3,98.6,33.18
user_001,2024-01-01 00:23:00,42,50.0,96.1,32.83
user_001,2024-01-01 00:24:00,47,47.3,98.3,33.27
user_001,2024-01-01 00:25:00,50,46.1,97.1,34.18
user_001,2024-01-01 00:26:00,44,48.5,97.5,33.27
user_001,2024-01-01 00:27:00,51,47.1,97.5,34.12
user_001,2024-01-01 00:28:00,46,60.2,97.5,33.2
user_001,2024-01-01 00:29:00,48,36.0,95.9,32.83
user_001,2024-01-01 00:30:00,46,49.2,98.1,34.18
user_001,2024-01-01 00:31:00,59,51.3,98.2,33.88
user_001,2024-01-01 00:32:00,49,66.8,98.3,33.13
user_001,2024-01-01 00:33:00,44,54.3,97.9,33.43
user_001,2024-01-01 00:34:00,54,52.3,97.3,33.32
